0.341114	-0.940022	-0.700926	1.01685e-31
1.93757e-16	1.85199e-17	1.8607e-16	2.58464e-18
1.43432e-16	-5.8648e-19	1.53482e-16	1.24358e-33
7.08304e-16	5.77864e-17	6.79431e-16	-2.45666e-33
-1.20757e-15	-4.41761e-16	-9.5878e-16	-2.49435e-18
1.93655e-16	1.59664e-17	1.85774e-16	1.59353e-19
-0.184236	-0.982882	-1.20486	1.08613e-31
-4.03025e-16	1.10479e-16	-5.73351e-16	-1.85511e-18
1.34961e-15	-2.52978e-16	1.68323e-15	-1.22599e-33
-6.85568e-16	-5.59315e-17	-6.57621e-16	2.16307e-33
1.39882e-16	-5.71962e-19	1.49683e-16	-3.40406e-34
-4.02738e-16	1.1105e-16	-5.73181e-16	-9.9502e-19
-0.34879	-0.937201	-1.43917	-2.70728e-33
4.1418e-16	-1.14242e-16	5.89479e-16	9.73835e-19
1.37329e-16	-5.61523e-19	1.46951e-16	1.42518e-33
7.07386e-16	5.77115e-17	6.7855e-16	-1.43273e-33
1.35032e-15	-2.5311e-16	1.68411e-15	-4.34962e-33
4.13203e-16	-1.14832e-16	5.88404e-16	-1.64822e-19
-0.184236	-0.982882	-1.20486	7.66662e-31
-2.18637e-16	-1.94508e-17	-2.0985e-16	-1.53748e-18
-1.20639e-15	-4.34142e-16	-9.56014e-16	2.54482e-18
-6.83097e-16	-5.57299e-17	-6.55251e-16	2.4926e-33
1.3799e-16	-5.64225e-19	1.47658e-16	-2.08888e-34
-2.21118e-16	-1.85029e-17	-2.1214e-16	-4.41332e-19
0.341114	-0.940022	-0.700926	-4.58063e-32
